RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,Labels
0.24428571428571427,0.4672897196261682,0.18796992481203006,0.07955449482895784,0.39370078740157477,0.09964726631393298,0.14619883040935672,0.42016806722689076,0.3275,0.25,0.3333333333333333,0.15451174289245984,0.09737098344693282,0.043010752688172046,0.4048582995951417,0.03938558487593541,0.08734270910436713,0.3448275862068966,0.5780346820809249,0.4444444444444444,nonDRNA
0.14285714285714285,0.4672897196261682,0.22556390977443608,0.09705648369132855,0.39370078740157477,0.09876543209876544,0.14619883040935672,0.47478991596638653,0.3,0.25,0.3333333333333333,0.13597033374536466,0.09737098344693282,0.043010752688172046,0.47773279352226716,0.04253643166601024,0.07401924500370097,0.37586206896551727,0.5780346820809249,0.5111111111111111,nonDRNA
0.1842857142857143,0.0,0.18796992481203006,0.0,0.5236220472440946,0.08818342151675485,0.0,0.42016806722689076,0.25,0.25,0.3333333333333333,0.12360939431396786,0.09737098344693282,0.043010752688172046,0.4048582995951417,0.03938558487593541,0.07401924500370097,0.4517241379310345,0.5780346820809249,0.4444444444444444,nonDRNA
0.16857142857142857,0.4672897196261682,0.18796992481203006,0.07955449482895784,0.39370078740157477,0.0943562610229277,0.14619883040935672,0.42016806722689076,0.25,0.335,0.3333333333333333,0.12360939431396786,0.09737098344693282,0.052473118279569894,0.4048582995951417,0.03938558487593541,0.08142116950407106,0.3724137931034483,0.5780346820809249,0.4444444444444444,nonDRNA
0.19714285714285712,0.4672897196261682,0.2105263157894737,0.07955449482895784,0.39370078740157477,0.08818342151675485,0.17105263157894737,0.4957983193277311,0.25,0.295,0.3333333333333333,0.12360939431396786,0.1207400194741967,0.06580645161290323,0.44534412955465585,0.03938558487593541,0.08364174685418208,0.45862068965517244,0.5780346820809249,0.5111111111111111,RNA
0.14285714285714285,0.0,0.0,0.0,0.39370078740157477,0.08818342151675485,0.14619883040935672,0.0,0.25,0.25,0.3333333333333333,0.12360939431396786,0.09737098344693282,0.043010752688172046,0.6356275303643725,0.03938558487593541,0.07401924500370097,0.3448275862068966,0.0,0.0,RNA
0.17142857142857143,0.4672897196261682,0.20864661654135339,0.11217183770883055,0.4370078740157481,0.10141093474426807,0.16374269005847955,0.45798319327731096,0.31,0.3275,0.39666666666666667,0.13597033374536466,0.1976630963972736,0.048172043010752695,0.46153846153846145,0.052776683733753445,0.10288675055514433,0.35862068965517246,0.5780346820809249,0.7422222222222222,nonDRNA
0.16,0.4672897196261682,0.22744360902255636,0.08750994431185362,0.452755905511811,0.09876543209876544,0.14619883040935672,0.5168067226890757,0.2975,0.3,0.3333333333333333,0.12360939431396786,0.11197663096397273,0.043010752688172046,0.4331983805668016,0.04529342260732572,0.09770540340488527,0.396551724137931,0.8092485549132947,0.5244444444444444,nonDRNA
0.14285714285714285,0.4672897196261682,0.22180451127819548,0.0914876690533015,0.39370078740157477,0.10493827160493827,0.14619883040935672,0.5042016806722689,0.25,0.295,0.3333333333333333,0.12360939431396786,0.09737098344693282,0.043010752688172046,0.4048582995951417,0.04489956675856636,0.07401924500370097,0.43793103448275866,0.5780346820809249,0.4977777777777778,nonDRNA
0.24428571428571427,0.0,0.24436090225563908,0.09705648369132855,0.39370078740157477,0.09523809523809525,0.14619883040935672,0.49159663865546216,0.275,0.3,0.3333333333333333,0.15945611866501855,0.09737098344693282,0.043010752688172046,0.5303643724696356,0.03938558487593541,0.07401924500370097,0.4068965517241379,0.5780346820809249,0.4444444444444444,nonDRNA
