SOC1_SC1,SOC1_G1
0.2869,8900.4825
0.3413,10216.8759
0.3794,11092.8742
0.3427,10679.2041
0.3818,11163.0095
0.3313,10762.974
0.3655,10116.6781
0.3414,9349.8966
0.3531,10720.8237
0.3709,10053.2581
0.3768,10910.0382
0.3721,11046.4946
0.321,9115.8468
0.3488,9973.6506
0.3533,10063.7245
0.366,9992.8744
0.3754,9603.0217
0.2837,10688.1444
0.3898,10732.7618
0.2832,9297.2366
0.3429,9176.4545
0.4184,11712.0599
0.3615,8408.4563
0.3814,9855.5991
0.3461,10416.7346
0.4094,10008.0482
0.3552,10342.4105
0.4266,11725.7291
0.3788,10397.9351
0.3435,9326.0262
0.3399,10134.2916
0.3356,9777.326
0.4045,9578.8138
0.3455,9838.0433
0.3759,10907.3423
0.3841,10847.2417
0.3635,9737.3703
0.433,12384.5437
0.336,9454.9712
0.4198,11279.3503
0.3604,10776.8856
0.3922,8329.913
0.3635,9306.8285
0.3475,10110.4743
0.3475,10577.838
0.3649,10175.7364
0.3365,9654.2884
0.3928,10178.9603
0.372,10216.2472
0.3241,8622.3144
0.324,9331.8122
0.4039,11185.0138
0.3586,10789.3237
0.3205,10508.6543
0.3624,9735.2013
0.3566,10071.97
0.3221,9860.1314
0.2452,8535.1414
0.2683,9027.2067
0.3449,9969.4405
0.3886,9920.3241
0.3238,9822.8184
0.2606,10808.6199
0.2747,9717.1395
0.3502,10358.6187
0.427,9589.4286
0.2866,9165.4012
0.3889,11112.5217
0.3644,10542.4767
0.3655,10229.7649
0.4097,9628.181
0.3523,11083.8889
0.3293,8733.0646
0.4146,11496.0132
0.3879,11276.9205
0.382,9484.2712
0.3704,9634.9855
0.2856,7587.4742
0.3333,8774.6892
0.3625,9080.5076
0.2936,9161.117
0.3712,10785.7735
0.3514,10999.7128
0.3671,10731.1714
0.3999,10537.1656
0.3702,9684.9091
0.3087,9217.9444
0.3462,9908.9987
0.4022,11390.8596
0.3212,8946.9034
0.322,9698.1041
0.3782,10655.5127
0.3113,8910.75
0.3288,9772.5291
0.4182,10980.9781
0.386,10004.0242
0.3783,11391.6568
0.3828,9956.9493
0.3743,9936.2
0.3148,9502.065
0.2435,9361.6277
0.324,9645.5452
0.4942,8640.26
0.3599,9890.6167
0.346,9614.5217
0.3395,9552.9046
0.4299,9887.1321
0.41,11236.4167
0.3763,9847.2937
0.3735,8903.3977
0.2817,10563.9673
0.3568,10788.1448
0.306,10376.0408
0.3729,9602.8473
0.2576,10473.1587
0.3526,9021.9836
0.3144,9610.1981
0.3737,10181.759
0.2394,7837.4808
0.3486,10851.6368
0.4129,9213.9251
0.3421,10553.3651
0.3818,10043.4418
0.3902,10065.6394
0.3925,10025.9252
0.3948,11462.8073
0.3808,10069.3626
0.3048,8470.8801
0.3395,8646.1499
0.369,9701.0696
0.2994,10362.9949
0.3896,9732.5718
0.3332,9773.5693
0.3312,9731.6488
0.3439,9281.8378
0.3187,8641.8459
0.3154,7920.8825
0.4075,10107.0921
0.3687,11261.5366
0.347,9596.1367
0.3666,9499.4601
0.4136,10034.4135
0.3925,9624.9207
0.3999,9495.2665
0.3679,10388.5327
0.3969,9978.319
0.3376,9797.2031
0.4076,10398.2099
0.383,7982.3274
0.3479,10016.2344
0.4547,10258.5522
0.3542,9474.0054
0.3687,9515.5077
0.3086,10253.7985
0.3589,9789.2332
0.284,8034.9398
0.3379,9944.769
0.3492,9571.144
0.3408,9067.9952
0.3819,10414.3694
0.3465,6946.2797
0.3515,11596.3013
0.3867,10331.9459
0.3884,10500.2542
0.3576,9810.0292
0.3854,9911.6216
0.3467,9836.5432
0.359,9767.9626
0.3539,10271.4731
0.365,12565.0092
0.3342,9511.2119
0.3793,10249.3156
0.3468,10253.9585
0.302,9276.3472
0.3528,10734.9495
0.3858,10419.9002
0.3364,10136.3062
0.3887,9719.8284
0.3536,10075.0128
0.3978,12203.7102
0.3774,9982.9241
0.3914,10752.105
0.3872,10546.8329
0.4194,10293.5975
0.382,10478.6367
0.3686,9534.1547
0.3167,9794.7598
0.3526,8328.6538
0.3604,9677.4649
0.3606,10393.9085
0.3585,9559.8313
0.3316,11212.4589
0.3277,10221.9535
0.3968,9326.1169
0.3746,9759.4519
0.2877,9261.1765
0.3708,11079.3134
0.3686,11446.2029
0.3616,9220.3634
0.2806,9893.9653
0.3643,10201.5412
0.3869,10057.1823
0.3934,10135.2975
0.3613,11078.108
0.3357,10429.9384
0.3374,9780.2723
0.3198,9398.9691
0.3622,9239.7883
0.4146,10393.2174
0.3815,9612.3284
0.3725,10678.095
0.3712,9595.389
0.3138,9070.4605
0.4056,10135.9843
0.3789,10081.3767
0.3995,9334.4897
0.372,10631.9926
0.3807,10030.7785
0.3903,9378.9958
